epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,597.18,1.49295,2.32854,2.62821,1.20624,0.74238,0.13608,0.23093,0.13895,0.74882,0.13916,0.23445,0.14133,1.2426,1.63945,3.58494,1.13346,0.000546249,0.000546249,0.000546249
2,1257.6,1.33787,1.70961,1.57938,1.1345,0.67505,0.50367,0.71813,0.43333,0.67915,0.50984,0.7224,0.4224,1.3116,1.62926,2.25519,1.14662,0.000992826,0.000992826,0.000992826
3,1976.93,1.30805,1.62601,1.40072,1.13469,0.6723,0.70535,0.68188,0.42604,0.7168,0.6779,0.69835,0.42444,1.28438,1.58101,1.7666,1.18669,0.00132938,0.00132938,0.00132938
4,2639.6,1.23669,1.52502,1.25082,1.10018,0.81871,0.75389,0.81129,0.50641,0.81836,0.78323,0.81769,0.47463,1.24179,1.4457,1.47493,1.16272,0.0011719,0.0011719,0.0011719
5,3333.12,1.20149,1.46663,1.14987,1.08802,0.82382,0.79672,0.86497,0.593,0.83159,0.8177,0.8642,0.53588,1.10804,1.36002,1.17968,1.11004,0.00100687,0.00100687,0.00100687
6,4044.23,1.13206,1.42545,1.05604,1.05192,0.82886,0.85316,0.89132,0.62849,0.84363,0.86396,0.89519,0.57011,1.02842,1.25354,1.05581,1.05423,0.000841835,0.000841835,0.000841835
7,4746.88,1.09728,1.36259,0.98822,1.04534,0.93619,0.83096,0.91196,0.64499,0.94005,0.83404,0.91273,0.5731,1.03217,1.21461,0.98611,1.05596,0.000676802,0.000676802,0.000676802
8,5459.33,1.05689,1.31464,0.92732,1.02493,0.90239,0.88475,0.93404,0.65628,0.90293,0.88049,0.93378,0.57993,1.04374,1.26274,0.93051,1.05782,0.000511769,0.000511769,0.000511769
9,5894.86,1.03138,1.2771,0.90737,1.01219,0.8771,0.88167,0.9145,0.656,0.87457,0.88167,0.91431,0.55963,0.96949,1.19471,0.96478,1.03659,0.000346736,0.000346736,0.000346736
10,6229.92,0.98836,1.24258,0.85471,0.99807,0.91387,0.89145,0.94646,0.703,0.92036,0.88357,0.94634,0.6148,0.93292,1.18784,0.84728,1.01711,0.000181703,0.000181703,0.000181703
